tipe,tanggal,hari,ruang,jam_mulai,jam_selesai,status,kode_mk,kelas,mata_kuliah,nama_dosen,keterangan,tipe_perubahan
template,,Senin,F4.001,7:00,7:50,Kosong,,,,,,normal
template,,Senin,F4.001,7:50,8:40,Kosong,,,,,,normal
template,,Senin,F4.001,8:50,9:40,Terpakai,TIDA04,A,Basis Data Awan,"Tri Andi, S.T., M.Kom.","TIDA04 ( A )
Basis Data Awan
Dosen: TA",normal
template,,Senin,F4.001,9:40,10:30,Terpakai,TIDA04,A,Basis Data Awan,"Tri Andi, S.T., M.Kom.","TIDA04 ( A )
Basis Data Awan
Dosen: TA",normal
template,,Senin,F4.001,10:40,11:30,Terpakai,TIDA04,A,Basis Data Awan,"Tri Andi, S.T., M.Kom.","TIDA04 ( A )
Basis Data Awan
Dosen: TA",normal
template,,Senin,F4.001,12:10,13:10,Kosong,,,,,,normal
template,,Senin,F4.001,13:20,14:10,Terpakai,TI406,F,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Tri Andi, S.T., M.Kom.","TI406 ( F )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: TA",normal
template,,Senin,F4.001,14:10,15:00,Terpakai,TI406,F,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Tri Andi, S.T., M.Kom.","TI406 ( F )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: TA",normal
template,,Senin,F4.001,15:30,16:20,Terpakai,TI406,F,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Tri Andi, S.T., M.Kom.","TI406 ( F )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: TA",normal
template,,Senin,F4.001,16:20,17:10,Kosong,,,,,,normal
template,,Senin,F4.001,17:10,18:00,Kosong,,,,,,normal
template,,Senin,F4.001,18:30,19:20,Kosong,,,,,,normal
template,,Senin,F4.001,19:20,20:10,Kosong,,,,,,normal
template,,Senin,F4.001,20:10,21:00,Kosong,,,,,,normal
template,,Senin,F4.002,7:00,7:50,Kosong,,,,,,normal
template,,Senin,F4.002,7:50,8:40,Kosong,,,,,,normal
template,,Senin,F4.002,8:50,9:40,Terpakai,TI406,A,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Chayadi Oktomy N S, S.T., M.Eng. Ph.D","TI406 ( A )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: CO",normal
template,,Senin,F4.002,9:40,10:30,Terpakai,TI406,A,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Chayadi Oktomy N S, S.T., M.Eng. Ph.D","TI406 ( A )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: CO",normal
template,,Senin,F4.002,10:40,11:30,Terpakai,TI406,A,Pengujian dan Penjaminan Mutu Perangkat Lunak,"Chayadi Oktomy N S, S.T., M.Eng. Ph.D","TI406 ( A )
Pengujian dan Penjaminan Mutu Perangkat Lunak
Dosen: CO",normal
template,,Senin,F4.002,12:10,13:10,Kosong,,,,,,normal
template,,Senin,F4.002,13:20,14:10,Terpakai,TI205,E,Dasar Jaringan,"Nurwahyu Alamsyah, S.Kom., M.Kom., M.I.M., Ph.D","TI205 ( E )
Dasar Jaringan
Dosen: NA",normal
